Id,Creation Time,Owner,Tags,rouge1,rouge2,rougeL,gen_summ_len,filtered_l,text_len,threshold,input_json,method,filtered,random,parameters/summary_ratio
NEWS-99,2022-05-18 20:44:36,michal.pastuszka,[],30.6613,20.0075,27.4613,190.34,3339.69,3643.29,0.3,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,true,0.02
NEWS-98,2022-05-18 20:42:13,michal.pastuszka,[],30.6436,20.2577,27.6652,191.15,3384.18,3643.29,0.3,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,false,0.02
NEWS-96,2022-05-18 20:37:19,michal.pastuszka,[],30.5741,20.3963,27.7525,190.59,3493.73,3643.29,0.2,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,false,0.02
NEWS-97,2022-05-18 20:39:46,michal.pastuszka,[],30.463,20.0112,27.3796,192.41,3442.7,3643.29,0.2,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,true,0.02
NEWS-95,2022-05-18 20:34:47,michal.pastuszka,[],30.2162,19.9928,27.366,189.99,3511.36,3643.29,0.1,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,true,0.02
NEWS-94,2022-05-18 20:32:22,michal.pastuszka,[],30.1542,19.9584,27.3173,190.55,3537.25,3643.29,0.1,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,false,0.02
NEWS-30,2022-05-18 16:05:33,michal.pastuszka,[],30.114,19.9668,27.3317,191.77,3563.46,3643.29,0.01,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,false,false,0.02
NEWS-106,2022-05-18 21:22:40,michal.pastuszka,[],30.114,19.9668,27.3317,192.26,3604.48,3643.29,2.0E-4,data\newsroom\sample-v2_subj_scored_transformer.json,BertExt,true,false,0.02
NEWS-104,2022-05-18 21:17:36,michal.pastuszka,[],30.1122,19.9662,27.3358,192.63,3645.45,3643.29,1.0E-4,data\newsroom\sample-v2_subj_scored_transformer.json,BertExt,true,false,0.02
NEWS-105,2022-05-18 21:20:07,michal.pastuszka,[],30.1122,19.9662,27.3358,192.63,3645.45,3643.29,1.0E-4,data\newsroom\sample-v2_subj_scored_transformer.json,BertExt,true,true,0.02
NEWS-27,2022-05-18 16:01:57,michal.pastuszka,[],29.9686,19.699,27.0253,184.61,3107.02,3643.29,0.4,data\newsroom\sample-v2_subj_scored_blob.json,BertExt,true,false,0.02
